PRICE0,PRICE1,PRICE5,PRICE10,SALES0_0,SALES0_1,SALES0_5,SALES0_10,SALES1_0,SALES1_1,SALES1_5,SALES1_10,SALES5_0,SALES5_1,SALES5_5,SALES5_10,SALES10_0,SALES10_1,SALES10_5,SALES10_10
4.910058239,4.910058239,4.910058239,4.910058239,94.63940284,94.63940284,94.63940284,94.63940284,94.63940284,94.63940284,94.63940284,94.63940284,94.63940284,94.63940284,94.63940284,94.63940284,94.63940284,94.63940284,94.63940284,94.63940284
3.216531319,3.216531319,3.216531319,3.216531319,97.30212424,97.30212424,97.30212424,97.30212424,97.30212424,97.30212424,97.30212424,97.30212424,97.30212424,97.30212424,97.30212424,97.30212424,97.30212424,97.30212424,97.30212424,97.30212424
5.978282019,6.978282019,10.97828202,15.97828202,94.50512322,93.50512322,89.50512322,84.50512322,95.50512322,94.50512322,90.50512322,85.50512322,99.50512322,98.50512322,94.50512322,89.50512322,104.5051232,103.5051232,99.50512322,94.50512322
4.042784933,4.042784933,4.042784933,4.042784933,96.10560774,96.10560774,96.10560774,96.10560774,96.10560774,96.10560774,96.10560774,96.10560774,96.10560774,96.10560774,96.10560774,96.10560774,96.10560774,96.10560774,96.10560774,96.10560774
4.017661676,4.017661676,4.017661676,4.017661676,95.12333624,95.12333624,95.12333624,95.12333624,95.12333624,95.12333624,95.12333624,95.12333624,95.12333624,95.12333624,95.12333624,95.12333624,95.12333624,95.12333624,95.12333624,95.12333624
6.107970054,6.107970054,6.107970054,6.107970054,94.54308071,94.54308071,94.54308071,94.54308071,94.54308071,94.54308071,94.54308071,94.54308071,94.54308071,94.54308071,94.54308071,94.54308071,94.54308071,94.54308071,94.54308071,94.54308071
4.674564636,4.674564636,4.674564636,4.674564636,94.59419322,94.59419322,94.59419322,94.59419322,94.59419322,94.59419322,94.59419322,94.59419322,94.59419322,94.59419322,94.59419322,94.59419322,94.59419322,94.59419322,94.59419322,94.59419322
5.627167866,5.627167866,5.627167866,5.627167866,94.31045068,94.31045068,94.31045068,94.31045068,94.31045068,94.31045068,94.31045068,94.31045068,94.31045068,94.31045068,94.31045068,94.31045068,94.31045068,94.31045068,94.31045068,94.31045068
3.644129539,3.644129539,3.644129539,3.644129539,97.00076101,97.00076101,97.00076101,97.00076101,97.00076101,97.00076101,97.00076101,97.00076101,97.00076101,97.00076101,97.00076101,97.00076101,97.00076101,97.00076101,97.00076101,97.00076101
4.417262864,4.417262864,4.417262864,4.417262864,95.98723677,95.98723677,95.98723677,95.98723677,95.98723677,95.98723677,95.98723677,95.98723677,95.98723677,95.98723677,95.98723677,95.98723677,95.98723677,95.98723677,95.98723677,95.98723677
3.73418724,3.73418724,3.73418724,3.73418724,96.8275516,96.8275516,96.8275516,96.8275516,96.8275516,96.8275516,96.8275516,96.8275516,96.8275516,96.8275516,96.8275516,96.8275516,96.8275516,96.8275516,96.8275516,96.8275516
5.088467534,5.088467534,5.088467534,5.088467534,94.41123766,94.41123766,94.41123766,94.41123766,94.41123766,94.41123766,94.41123766,94.41123766,94.41123766,94.41123766,94.41123766,94.41123766,94.41123766,94.41123766,94.41123766,94.41123766
5.273238692,5.273238692,5.273238692,5.273238692,94.71960072,94.71960072,94.71960072,94.71960072,94.71960072,94.71960072,94.71960072,94.71960072,94.71960072,94.71960072,94.71960072,94.71960072,94.71960072,94.71960072,94.71960072,94.71960072
